"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000162670",12.6960420856603,5.34165704556242,0.656172272873476,5.85464702545146,4.78024166235841e-09,2.43905961862656e-07
"ENSG00000250579",60.0772691497349,5.34975538476392,0.520236138136597,7.40001530565165,1.36168801979106e-13,1.33518536705688e-11
"ENSG00000249001",14.573187598525,5.36313199057339,0.52914795944563,7.30066500609897,2.8634888096862e-13,2.69039045077269e-11
"ENSG00000106038",10.1263102440145,5.3663781817912,0.534848946218064,7.22891614376451,4.86863923487703e-13,4.39079130997244e-11
"ENSG00000229876",11.0348376214431,5.37140973001535,0.690718518348488,5.60490218109674,2.08372610772311e-08,9.74183629882709e-07
"ENSG00000179083",144.078545279714,5.37477560870009,0.497386246307136,7.7902749371711,6.68635405414957e-15,7.57268470783917e-13
"ENSG00000146755",278.277841773762,5.39052877694924,0.429678340455851,9.05451453015233,1.37176619832982e-19,2.58600053646434e-17
"ENSG00000029559",13.6623000684865,5.39104857806706,0.543596681858283,7.15796970056095,8.18806459114038e-13,7.09956223599768e-11
"ENSG00000159184",23.738073736095,5.4019164237692,0.698004138109245,5.59010500186821,2.26932343865376e-08,1.05420716816316e-06
"ENSG00000250284",9.63509825123709,5.40723481649358,0.747206330812796,5.22912434674284,1.70314788347007e-07,6.87375430317616e-06
"ENSG00000229131",9.74097674416486,5.42436847861555,0.805791727014651,4.87020199767352,1.11484220136885e-06,3.9921187651958e-05
"ENSG00000113296",403.094656643932,5.43460539600542,0.28839438650116,13.6431414069483,2.21796425560618e-42,7.20099061653472e-39
"ENSG00000231776",9.83310898407348,5.43620296884717,0.642242561053786,6.12884166752929,8.85211628150968e-10,5.07884458273192e-08
"ENSG00000227115",19.4101694158037,5.43737730417705,0.631720137128076,6.23278738917069,4.58207870442539e-10,2.74924722265524e-08
"ENSG00000257842",11.7473594034948,5.46082735564303,0.584238498403332,6.77946997068421,1.20617564242669e-11,9.13068711702275e-10
"ENSG00000130720",20.1150529146097,5.46382499378578,0.515325032017012,7.69189297533469,1.44973868401908e-14,1.58064792339693e-12
"ENSG00000185247",11.3290908621389,5.46668423970872,0.882027957688857,4.4972318679132,6.88438978758697e-06,0.000210861498525463
"ENSG00000259129",21.627749650444,5.47056078342788,0.700556639043378,5.66772272524567,1.44707887590339e-08,6.87887437525163e-07
"ENSG00000251199",11.8068473101223,5.47146956300624,0.538616026602425,7.37347083423819,1.66242070386817e-13,1.59265353990255e-11
"ENSG00000214107",10.4900124690517,5.47335521917319,0.944055215479431,4.20881655439544,2.56711695725359e-05,0.000721955317525986
"ENSG00000225383",13.1340597755087,5.49179549927096,0.360240039988639,11.080932312235,1.55247481625092e-28,9.07266282617039e-26
"ENSG00000205359",11.5798822279503,5.50049447986307,0.72141594208339,5.54533694987384,2.93388624643889e-08,1.33741273199601e-06
"ENSG00000287093",14.2422423274218,5.50836132930412,0.724189458700357,5.53496226871017,3.11295360531827e-08,1.40588105637403e-06
"ENSG00000167749",24.5059478919015,5.52342626444654,0.709666980279979,5.66945676810158,1.432509904411e-08,6.82837510715978e-07
"ENSG00000107984",539.509119187216,5.52665901327144,0.460575695870381,8.74266499377911,2.27675031682206e-18,3.63533575177818e-16
"ENSG00000182111",16.2884358028903,5.52864552180099,0.67536364161234,5.96515014071996,2.44409198875613e-09,1.30799208629037e-07
"ENSG00000248515",13.3842621029807,5.53428150764874,0.536798259991449,7.51545190871707,5.67146821434883e-14,5.8169920032101e-12
"ENSG00000268080",11.9111263545458,5.53877947625657,0.603552093968433,6.69168331386454,2.20617906021946e-11,1.60759481644919e-09
"ENSG00000182583",12.4869243935889,5.55063949465526,0.622788071391096,6.50404155238155,7.8190283489135e-11,5.25223007713224e-09
"ENSG00000253706",15.3234640260846,5.55628906378081,0.722471519234251,5.61446223939745,1.97174479673805e-08,9.24789453622566e-07
"ENSG00000230356",21.1239115073845,5.56473288824494,0.500362713673732,8.12357271468353,4.52657346345607e-16,5.82671703093332e-14
"ENSG00000267014",15.4197475760207,5.5649093337858,0.487755209308993,8.33391270089064,7.82136052839796e-17,1.07801959735749e-14
"ENSG00000214814",63.1051095016868,5.56868409088773,0.548106617441355,7.4231617744025,1.14356955020028e-13,1.13271533074075e-11
"ENSG00000288552",10.7814783036609,5.57088652962061,0.628026868125495,6.48202606645032,9.0498999510034e-11,6.00995628564362e-09
